Mesh,Normalization,MSE_X,MSE_Y,MSE_Z,MSE_Total
branch.obj,MinMax,9.06313602401283e-07,1.1774625686656331e-06,2.746198197465841e-07,7.861319969378333e-07
branch.obj,ZScore,9.063135441523753e-07,1.1774628012929336e-06,2.7461948376123e-07,7.861319430688463e-07
branch.obj,UnitSphere,2.2970399774911926e-06,2.4496002808894303e-06,2.2715690945238055e-06,2.3394031176348095e-06
cylinder.obj,MinMax,1.3143812248546164e-06,1.9110793871932756e-06,1.3143812248546164e-06,1.5132806123008362e-06
cylinder.obj,ZScore,1.3143777783252576e-06,1.9110988994132574e-06,1.3143777783252684e-06,1.513284818687928e-06
cylinder.obj,UnitSphere,2.525702349479517e-06,2.669286101270609e-06,2.5257023494794822e-06,2.573563600076536e-06
explosive.obj,MinMax,5.272927775729025e-08,2.769728533125382e-07,4.8711214979934475e-08,1.2613778201658762e-07
explosive.obj,ZScore,5.2729286293273525e-08,2.769727388476702e-07,4.87115548607613e-08,1.2613786000056834e-07
explosive.obj,UnitSphere,4.512319599703577e-07,3.74721075605803e-07,3.4451142770217755e-07,3.901548210927794e-07
fence.obj,MinMax,3.0576854813511075e-07,2.0979978526902402e-07,1.5935029596157104e-09,1.7238727878791685e-07
fence.obj,ZScore,3.0576967189755856e-07,2.0979935503783257e-07,1.5935750085103264e-09,1.723875339813005e-07
fence.obj,UnitSphere,4.0995195710134145e-07,3.690322531372848e-07,3.0329012029446187e-07,3.607581101776961e-07
girl.obj,MinMax,3.1533570640197754e-07,2.5944185118044395e-07,4.197711169716495e-08,2.0558488975986216e-07
girl.obj,ZScore,3.153359065190617e-07,2.594418765558635e-07,4.197710385850529e-08,2.0558496231114352e-07
girl.obj,UnitSphere,3.564402524345904e-07,3.5091451674872274e-07,3.4922068383787376e-07,3.5219181767372895e-07
person.obj,MinMax,9.124303232597272e-07,1.3990281086432942e-06,6.171972967093867e-08,7.9105938719132e-07
person.obj,ZScore,9.124304662832485e-07,1.3990292700426292e-06,6.171991628506892e-08,7.910598842036488e-07
person.obj,UnitSphere,1.9290445043511178e-06,1.6901141277927428e-06,1.6701619513142027e-06,1.763106861152688e-06
table.obj,MinMax,5.5391424378885685e-08,1.0548481438888181e-07,3.063987237988362e-07,1.5575832085553457e-07
table.obj,ZScore,5.53920734620817e-08,1.0548479697012794e-07,3.063989798478846e-07,1.557586167600314e-07
table.obj,UnitSphere,4.678687826287257e-07,4.6817462052323864e-07,4.738102282183812e-07,4.6995121045678183e-07
talwar.obj,MinMax,1.4153631839586015e-09,3.738769495640805e-07,1.9027324436180714e-08,1.3143987906140658e-07
talwar.obj,ZScore,1.4153343456174373e-09,3.738767475604715e-07,1.9027411140122488e-08,1.314398310154038e-07
talwar.obj,UnitSphere,6.359926129282925e-07,5.368018446146848e-07,5.810034459779177e-07,5.845993011736317e-07
